Title	URL	Assignees	Status	Sprint	Task Type	Nature	Epic	Expected time (hours)	Actual time (hours)
Frontend UI for Graphs	https://github.com/swent-group10/polyfit/issues/103	sharif-bbd	Done in Sprint 4/5/6	Sprint 4	Frontend	Sprint Task	Technical		
End-to-end test for user story picture	https://github.com/swent-group10/polyfit/issues/66	antomax33	Done in Sprint 4/5/6	Sprint 3	Backend	Sprint Task	Miscellaneous	10	32
Creating a logo.	https://github.com/swent-group10/polyfit/issues/98	antomax33	Done in Sprint 4/5/6	Sprint 4	Frontend	Sprint Task	Technical	1.5	
UI Summary meal information	https://github.com/swent-group10/polyfit/issues/102	aprilslis	Done in Sprint 4/5/6	Sprint 4	Figma	Sprint Task	Epics	2	
Figma Design for Graphs	https://github.com/swent-group10/polyfit/issues/97	aprilslis	Done in Sprint 4/5/6	Sprint 4	Figma	Sprint Task	Miscellaneous		
Add tags to a meal for allergies and animal friendliness	https://github.com/swent-group10/polyfit/issues/110	aprilslis	Done in Sprint 4/5/6	Sprint 4					
UI Summary meal information	https://github.com/swent-group10/polyfit/issues/152	medwardson	Done in Sprint 4/5/6	Sprint 6	Frontend	Sprint Task	Technical		
UI for posting a Meal for others to see	https://github.com/swent-group10/polyfit/issues/156	aprilslis	Done in Sprint 4/5/6	Sprint 5					
Creating a post/ Sharing	https://github.com/swent-group10/polyfit/issues/212		Done in Sprint 4/5/6	Sprint 6		User Story			
Revolve APK pipeline issue	https://github.com/swent-group10/polyfit/issues/113	Neb1010, RandomUsername1315	Done in Sprint 4/5/6	Sprint 4	Backend	Sprint Task	Technical	4	
Set Up local Database for offline use	https://github.com/swent-group10/polyfit/issues/91	RandomUsername1315	Done in Sprint 4/5/6	Sprint 4	Backend	Sprint Task	Technical	6	
API Class for getting if animal can eat a type of food	https://github.com/swent-group10/polyfit/issues/106	Neb1010	Done in Sprint 4/5/6	Sprint 4	Backend	Sprint Task	Technical		
Prevent negative values when minus NutritionalInformation	https://github.com/swent-group10/polyfit/issues/95	medwardson	Done in Sprint 4/5/6	Sprint 4				1	1.5
MealViewModel add test coverage	https://github.com/swent-group10/polyfit/issues/107	medwardson	Done in Sprint 4/5/6	Sprint 4				1	
Cleanup console warnings	https://github.com/swent-group10/polyfit/issues/116	medwardson	Done in Sprint 4/5/6	Sprint 4				1.5	1
Modify the Meal class to also store date	https://github.com/swent-group10/polyfit/issues/99	medwardson	Done in Sprint 4/5/6	Sprint 4				1.5	1
